Method,Size,Dataset,Metric,Statistic,p-value,Significant
CSC,600,pubmed,precision_omega_scores,1183.0,0.00012244808298717127,True
CSC,600,pubmed,iou_scores,546.0,1.2251903737829348e-06,True
CSC,600,pubmed,recall_scores,169.0,0.2862788139759158,False
CSC,600,pubmed,precision_scores,538.0,9.974573612772809e-07,True
CSC,800,state_of_the_union,precision_omega_scores,1233.0,0.23372698371723843,False
CSC,800,state_of_the_union,iou_scores,940.0,0.29040779633725544,False
CSC,800,state_of_the_union,recall_scores,204.0,0.0618927826313853,False
CSC,800,state_of_the_union,precision_scores,935.0,0.2760798723358675,False
CSC,800,wikitexts,precision_omega_scores,1790.0,5.923070734691278e-09,True
CSC,800,wikitexts,iou_scores,1947.0,1.7648603587749403e-08,True
CSC,800,wikitexts,recall_scores,290.0,0.026338627742652575,True
CSC,800,wikitexts,precision_scores,1946.0,1.7420113415008193e-08,True
CSC,800,finance,precision_omega_scores,1321.0,0.012079716054297819,True
CSC,800,finance,iou_scores,591.0,8.27140207543043e-05,True
CSC,800,finance,recall_scores,206.5,0.5743017686161436,False
CSC,800,finance,precision_scores,581.0,6.505137285405817e-05,True
CSC,800,chatlogs,precision_omega_scores,432.0,0.07257619309818597,False
CSC,800,chatlogs,iou_scores,169.0,2.8850396870590775e-07,True
CSC,800,chatlogs,recall_scores,0.0,0.04216819709715596,True
CSC,800,chatlogs,precision_scores,164.0,2.3210852705924888e-07,True
CSC,800,pubmed,precision_omega_scores,1459.0,0.0035362223004506287,True
CSC,800,pubmed,iou_scores,955.0,0.0008947330059781686,True
CSC,800,pubmed,recall_scores,295.0,0.04458849347370062,True
CSC,800,pubmed,precision_scores,943.0,0.0007296420124603588,True
KMC,200,state_of_the_union,precision_omega_scores,1260.0,0.29324850647323164,False
KMC,200,state_of_the_union,iou_scores,951.0,0.24024709461742533,False
KMC,200,state_of_the_union,recall_scores,248.0,0.06787769550819318,False
KMC,200,state_of_the_union,precision_scores,948.0,0.23282655337758662,False
KMC,200,wikitexts,precision_omega_scores,3921.0,0.009580622787487834,True
KMC,200,wikitexts,iou_scores,3676.0,0.3505107446617214,False
KMC,200,wikitexts,recall_scores,879.0,0.7899220104899407,False
KMC,200,wikitexts,precision_scores,3650.0,0.3191724918584131,False
KMC,200,finance,precision_omega_scores,2213.0,0.556323383119181,False
KMC,200,finance,iou_scores,908.0,0.6310435891871544,False
KMC,200,finance,recall_scores,349.0,0.5527203151831077,False
KMC,200,finance,precision_scores,903.0,0.6063337065792365,False
KMC,200,chatlogs,precision_omega_scores,768.0,0.80667902307645,False
KMC,200,chatlogs,iou_scores,751.0,0.7014358296274912,False
KMC,200,chatlogs,recall_scores,25.0,0.08275483101998278,False
KMC,200,chatlogs,precision_scores,750.0,0.6953980889283131,False
KMC,200,pubmed,precision_omega_scores,2230.0,0.5980954754443734,False
KMC,200,pubmed,iou_scores,1307.0,0.6645262849409163,False
KMC,200,pubmed,recall_scores,419.0,0.3579529867118104,False
KMC,200,pubmed,precision_scores,1297.0,0.6258722666123258,False
KMC,400,state_of_the_union,precision_omega_scores,907.0,0.003993672233018534,True
KMC,400,state_of_the_union,iou_scores,592.0,0.062440982848689895,False
KMC,400,state_of_the_union,recall_scores,232.0,0.5179998361076354,False
KMC,400,state_of_the_union,precision_scores,589.0,0.05916208481886132,False
KMC,400,wikitexts,precision_omega_scores,4466.0,0.16932936016280553,False
KMC,400,wikitexts,iou_scores,3757.0,0.03725210203723217,True
KMC,400,wikitexts,recall_scores,710.0,0.01553619804094744,True
KMC,400,wikitexts,precision_scores,3760.0,0.03784359199955634,True
KMC,400,finance,precision_omega_scores,1555.0,0.022963859842053076,True
KMC,400,finance,iou_scores,612.0,0.08833492672249385,False
KMC,400,finance,recall_scores,327.0,0.6943140232093397,False
KMC,400,finance,precision_scores,612.0,0.08833492672249385,False
KMC,400,chatlogs,precision_omega_scores,764.0,0.7815174940202354,False
KMC,400,chatlogs,iou_scores,389.0,0.003847180768815842,True
KMC,400,chatlogs,recall_scores,28.5,0.026547759388299865,True
KMC,400,chatlogs,precision_scores,389.0,0.003847180768815842,True
KMC,400,pubmed,precision_omega_scores,2174.0,0.29345280656456907,False
KMC,400,pubmed,iou_scores,1230.0,0.5076793446491072,False
KMC,400,pubmed,recall_scores,424.5,0.3827667071308716,False
KMC,400,pubmed,precision_scores,1224.0,0.48677907615200666,False
KMC,600,state_of_the_union,precision_omega_scores,823.0,0.0009211411580366449,True
KMC,600,state_of_the_union,iou_scores,641.0,0.04368724654340416,True
KMC,600,state_of_the_union,recall_scores,256.0,0.18869007752260714,False
KMC,600,state_of_the_union,precision_scores,641.0,0.04368724654340416,True
KMC,600,wikitexts,precision_omega_scores,5160.0,0.9047535794123059,False
KMC,600,wikitexts,iou_scores,4010.0,0.1592588551812253,False
KMC,600,wikitexts,recall_scores,407.5,0.0011134473990412218,True
KMC,600,wikitexts,precision_scores,4012.0,0.1605499821407319,False
KMC,600,finance,precision_omega_scores,1618.0,0.014000485762704297,True
KMC,600,finance,iou_scores,855.0,0.5156656102757933,False
KMC,600,finance,recall_scores,328.0,0.14314650394181475,False
KMC,600,finance,precision_scores,854.0,0.5110369126913854,False
KMC,600,chatlogs,precision_omega_scores,650.0,0.22733452598768422,False
KMC,600,chatlogs,iou_scores,495.0,0.03308675691192427,True
KMC,600,chatlogs,recall_scores,53.5,0.06250434575095574,False
KMC,600,chatlogs,precision_scores,493.0,0.03169394901304932,True
KMC,600,pubmed,precision_omega_scores,2436.0,0.8917253882225212,False
KMC,600,pubmed,iou_scores,984.0,0.09207122812331876,False
KMC,600,pubmed,recall_scores,307.0,0.6598407557228858,False
KMC,600,pubmed,precision_scores,982.0,0.08987993208423413,False
KMC,800,state_of_the_union,precision_omega_scores,599.0,7.701614965671363e-06,True
KMC,800,state_of_the_union,iou_scores,580.0,0.013657908275863846,True
KMC,800,state_of_the_union,recall_scores,172.0,0.03419166972257737,True
KMC,800,state_of_the_union,precision_scores,581.0,0.013941180339115962,True
KMC,800,wikitexts,precision_omega_scores,3212.0,6.212901858386482e-05,True
KMC,800,wikitexts,iou_scores,3712.0,0.4824098780118138,False
KMC,800,wikitexts,recall_scores,683.0,0.9552595497614671,False
KMC,800,wikitexts,precision_scores,3711.0,0.4808932329326395,False
KMC,800,finance,precision_omega_scores,1249.0,0.001313949432802653,True
KMC,800,finance,iou_scores,585.0,0.05501373255621582,False
KMC,800,finance,recall_scores,256.0,0.8657723749926214,False
KMC,800,finance,precision_scores,585.0,0.05501373255621582,False
KMC,800,chatlogs,precision_omega_scores,602.0,0.10986611637678652,False
KMC,800,chatlogs,iou_scores,318.0,0.0001524134446900768,True
KMC,800,chatlogs,recall_scores,48.5,0.14070407079252661,False
KMC,800,chatlogs,precision_scores,318.0,0.0001524134446900768,True
KMC,800,pubmed,precision_omega_scores,1998.0,0.09593904896982826,False
KMC,800,pubmed,iou_scores,1051.0,0.13997734820397836,False
KMC,800,pubmed,recall_scores,191.5,0.24043379076378846,False
KMC,800,pubmed,precision_scores,1051.0,0.13997734820397836,False
